name/address,neighborhood,price,phone number,link
"1212 Commonwealth Avenue #2A, Boston, 02134","Commonwealth , Boston","$1,536",none,https://www.zumper.com/apartments-for-rent/2397977p/1-bedroom-commonwealth-boston-ma
"111 Queensberry St #D1, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,494",none,https://www.zumper.com/apartments-for-rent/3002228p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"15 Wait St #3F, Boston, 02120","Mission Hill , Boston","$1,995",none,https://www.zumper.com/apartments-for-rent/4044511p/1-bedroom-mission-hill-boston-ma
"9 Wait St #1, Boston, 02120","Mission Hill , Boston","$1,995",none,https://www.zumper.com/apartments-for-rent/641229p/1-bedroom-mission-hill-boston-ma
"61 Queensberry St #20, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,950",none,https://www.zumper.com/apartments-for-rent/2208p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"72 Harvard Ave #6, Boston, 02134",Boston,"$1,850",none,https://www.zumper.com/apartments-for-rent/7610654p/1-bedroom-boston-ma
"110 Gordon St #10, Boston, 02135","St, Elizabeth,s , Boston","$1,875",none,https://www.zumper.com/apartments-for-rent/4044580p/1-bedroom-st-elizabeth's-boston-ma
"76 Harvard Ave #5, Boston, 02134",Boston,"$1,850",none,https://www.zumper.com/apartments-for-rent/4062142p/1-bedroom-boston-ma
"5 President Ter #4, Boston, 02134",Boston,"$1,875",none,https://www.zumper.com/apartments-for-rent/4044505p/1-bedroom-boston-ma
"Snow Hill St & Hull St #5, Boston, 02113","North End , Boston","$1,400",none,https://www.zumper.com/apartments-for-rent/2198845p/1-bedroom-north-end-boston-ma
"Stillman St & Salem St #3, Boston, 02113","North End , Boston","$1,500",none,https://www.zumper.com/apartments-for-rent/9574066p/1-bedroom-north-end-boston-ma
"N Margin St & Thacher St #3, Boston, 02113","North End , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/2307417p/1-bedroom-north-end-boston-ma
"70 Chiswick Road #6, Boston, 02135","Commonwealth , Boston","$1,695",none,https://www.zumper.com/apartments-for-rent/496854p/1-bedroom-commonwealth-boston-ma
"165 Kelton Street #21A, Boston, 02134","Commonwealth , Boston","$1,479",none,https://www.zumper.com/apartments-for-rent/5812962p/1-bedroom-commonwealth-boston-ma
"5 Royce Road #9, Boston, 02134","Commonwealth , Boston","$1,575",none,https://www.zumper.com/apartments-for-rent/2087213p/1-bedroom-commonwealth-boston-ma
"85 Strathmore Road #8, Boston, 02135","Commonwealth , Boston","$1,595",none,https://www.zumper.com/apartments-for-rent/3002694p/1-bedroom-commonwealth-boston-ma
"89 Strathmore Road #3, Boston, 02135","Commonwealth , Boston","$1,329",none,https://www.zumper.com/apartments-for-rent/9551444p/1-bedroom-commonwealth-boston-ma
"Sheafe St & Snow Hill St #2, Boston, 02113","North End , Boston","$1,450",none,https://www.zumper.com/apartments-for-rent/1488673p/1-bedroom-north-end-boston-ma
"464 Commonwealth Avenue, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,050",none,https://www.zumper.com/apartments-for-rent/3157030p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"4, 8, 12 Elko Street","Oak Square , Boston","$2,000+",tel:8572195260,https://www.zumper.com/apartment-buildings/p88435/4-8-12-elko-street-oak-square-boston-ma
"Riverway & Park Drive #15, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,895",none,https://www.zumper.com/apartments-for-rent/2151107p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"6 Leeds Street #1, Boston, 02127","Columbus Park - Andrew Square , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/9573228p/1-bedroom-columbus-park-andrew-square-boston-ma
"1933 Commonwealth Avenue #501, Boston, 02135","St, Elizabeth,s , Boston","$1,875",none,https://www.zumper.com/apartments-for-rent/575751p/1-bedroom-st-elizabeth's-boston-ma
"4 Ayr Rd, Boston, 02135","Commonwealth , Boston","$1,775",none,https://www.zumper.com/apartments-for-rent/1913014p/1-bedroom-commonwealth-boston-ma
"79 Gordon St, Boston, 02135","St, Elizabeth,s , Boston","$1,895",none,https://www.zumper.com/apartments-for-rent/1271002p/1-bedroom-st-elizabeth's-boston-ma
"475 Beacon St, Boston, 02115","Back Bay , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/320730p/1-bedroom-back-bay-boston-ma
"81 Park Dr, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,788",none,https://www.zumper.com/apartments-for-rent/996812p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"85 Sutherland Rd, Boston, 02135","Commonwealth , Boston","$1,775",none,https://www.zumper.com/apartments-for-rent/1283296p/1-bedroom-commonwealth-boston-ma
"176 N Beacon St, Boston, 02135","Oak Square , Boston","$1,400",none,https://www.zumper.com/apartments-for-rent/108294p/1-bedroom-oak-square-boston-ma
"139 Salem St, Boston, 02113","North End , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/1266587p/1-bedroom-north-end-boston-ma
"4 Wesley Pl, Boston, 02113","North End , Boston","$1,500",none,https://www.zumper.com/apartments-for-rent/2046669p/1-bedroom-north-end-boston-ma
"236 Kelton St, Boston, 02134","Commonwealth , Boston","$1,895",none,https://www.zumper.com/apartments-for-rent/237727p/1-bedroom-commonwealth-boston-ma
"6 Wait St, Boston, 02120","Mission Hill , Boston","$1,850",none,https://www.zumper.com/apartments-for-rent/639062p/1-bedroom-mission-hill-boston-ma
"1315 Commonwealth Ave, Boston, 02134","Commonwealth , Boston","$1,700",none,https://www.zumper.com/apartments-for-rent/771p/1-bedroom-commonwealth-boston-ma
"55 Broadlawn Park, Boston, 02467","Brook Farm , Boston","$1,750",none,https://www.zumper.com/apartments-for-rent/929036p/1-bedroom-brook-farm-boston-ma
"79 Webster Street #1, Boston, 02128","Jeffries Point - Airport , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/5771866p/1-bedroom-jeffries-point-airport-boston-ma
"Prescott St #0102, Boston, 02128","Jeffries Point - Airport , Boston","$1,495",none,https://www.zumper.com/apartments-for-rent/5757542p/1-bedroom-jeffries-point-airport-boston-ma
"Harvest St #01, Boston, 02125","Columbia Point , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/5757551p/1-bedroom-columbia-point-boston-ma
"Sutherland Road #01, Boston, 02135","Commonwealth , Boston","$1,650",none,https://www.zumper.com/apartments-for-rent/2472638p/1-bedroom-commonwealth-boston-ma
"Commonwealth Ave & Chiswick Road #035, Boston, 02135","St, Elizabeth,s , Boston","$1,850",none,https://www.zumper.com/apartments-for-rent/2493483p/1-bedroom-st-elizabeth's-boston-ma
"Jersey St #012A, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/2493716p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Park Drive #09, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,795",none,https://www.zumper.com/apartments-for-rent/2493763p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Queensberry St #020, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/2493779p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Burbank St #05, Boston, 02115","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,895",none,https://www.zumper.com/apartments-for-rent/2493803p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Massachusetts Ave #5, Boston, 02118","Lower Roxbury , Boston","$1,700",none,https://www.zumper.com/apartments-for-rent/2125993p/1-bedroom-lower-roxbury-boston-ma
"106 Tremont Street #305A, Boston, 02135","Oak Square , Boston","$1,850",none,https://www.zumper.com/apartments-for-rent/5813733p/1-bedroom-oak-square-boston-ma
"18 Sheafe St, Boston, 02113","North End , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/645439p/1-bedroom-north-end-boston-ma
"97 Cottage St, Boston, 02128","Jeffries Point - Airport , Boston","$1,850",none,https://www.zumper.com/apartments-for-rent/489211p/1-bedroom-jeffries-point-airport-boston-ma
"19 Cumberland St, Boston, 02115","Back Bay , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/864532p/1-bedroom-back-bay-boston-ma
"55 Colborne Rd, Boston, 02135","St, Elizabeth,s , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/7054730p/1-bedroom-st-elizabeth's-boston-ma
"52 Salem St, Boston, 02113","North End , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/1912642p/1-bedroom-north-end-boston-ma
"15 Joy St, Boston, 02114","Beacon Hill , Boston","$1,995",none,https://www.zumper.com/apartments-for-rent/281377p/1-bedroom-beacon-hill-boston-ma
"24 Stillman St, Boston, 02113","North End , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/910743p/1-bedroom-north-end-boston-ma
"61 Selkirk Rd, Boston, 02135","Commonwealth , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/236968p/1-bedroom-commonwealth-boston-ma
298-300 Meridian Street,"Central Square , Boston","$1,500",none,https://www.zumper.com/apartment-buildings/p340900/298-300-meridian-street-central-square-boston-ma
"332 Paris St #3, Boston, 02128","Central Maverick Square - Paris Street , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/9519573p/1-bedroom-central-maverick-square-paris-street-boston-ma
"111 Meridian St #2, Boston, 02128","Central Maverick Square - Paris Street , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/9512732p/1-bedroom-central-maverick-square-paris-street-boston-ma
"43 Crescent Street #2, Boston, 02129","Medford Street - The Neck , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/257973p/1-bedroom-medford-street-the-neck-boston-ma
"4577 Washington St, Boston, 02131","Metropolitan Hill - Beach Street , Boston","$1,825",none,https://www.zumper.com/apartments-for-rent/1917777p/1-bedroom-metropolitan-hill-beach-street-boston-ma
"Scottfield Rd #11, Boston, 02134","Commonwealth , Boston","$1,450",none,https://www.zumper.com/apartments-for-rent/9561654p/1-bedroom-commonwealth-boston-ma
"Rushmore St, Boston, 02135","St, Elizabeth,s , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/9561647p/1-bedroom-st-elizabeth's-boston-ma
"Strathmore Rd #204, Boston, 02135","Commonwealth , Boston","$1,975",none,https://www.zumper.com/apartments-for-rent/9561643p/1-bedroom-commonwealth-boston-ma
"Webster St #2, Boston, 02128","Jeffries Point - Airport , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/1471451p/1-bedroom-jeffries-point-airport-boston-ma
"Lanark Rd #8, Boston, 02135","Commonwealth , Boston","$1,400",none,https://www.zumper.com/apartments-for-rent/9561621p/1-bedroom-commonwealth-boston-ma
"Cambridge St #8, Boston, 02114","Beacon Hill , Boston","$1,400",none,https://www.zumper.com/apartments-for-rent/9561515p/1-bedroom-beacon-hill-boston-ma
"Quint Ave #3, Boston, 02134","St, Elizabeth,s , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/7260080p/1-bedroom-st-elizabeth's-boston-ma
